Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39
MA0101202502A0104399,세븐일레븐당산역,본점,G2,소매,G204,종합 소매,G20405,편의점,G46103,섬유; 의복; 신발 및 가죽제품 중개업,11,서울특별시,11560,영등포구,11560560,당산2동,1156011600,당산동6가,1156011600103060001,1,대지,306,1,서울특별시 영등포구 당산동6가 306-1,115603118004,서울특별시 영등포구 당산로,237,,1156011600103060001028724,,서울특별시 영등포구 당산로 237,150809,07222,,,,126.902233739056,37.5349083428158
MA0101202501A0051271,세븐일레븐신길,2호점,G2,소매,G204,종합 소매,G20405,편의점,G46103,섬유; 의복; 신발 및 가죽제품 중개업,11,서울특별시,11560,영등포구,11560650,신길3동,1156013200,신길동,1156013200103080002,1,대지,308,2,서울특별시 영등포구 신길동 308-2,115604154019,서울특별시 영등포구 가마산로61길,19,,1156013200103080002014803,,서울특별시 영등포구 가마산로61길 19,150847,07382,,1,,126.904374111819,37.5067627737504
MA010120220811075895,씨유여의동산점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100410002,1,대지,41,2,서울특별시 영등포구 여의도동 41-2,115603118028,서울특별시 영등포구 여의대방로,417,,1156011000100410002031425,대교상가,서울특별시 영등포구 여의대방로 417,150889,07340,비,,,126.934321723502,37.521055121863
MA010120220813933676,지에스25신길,행복점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560650,신길3동,1156013200,신길동,1156013200102570041,1,대지,257,41,서울특별시 영등포구 신길동 257-41,115604154526,서울특별시 영등포구 신길로39길,14,,1156013200102570041013642,,서울특별시 영등포구 신길로39길 14,150847,07386,,,,126.909316306059,37.5069829123607
MA010120220805298338,GS25영등포그랜드,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560630,신길1동,1156013200,신길동,1156013200101230007,1,대지,123,7,서울특별시 영등포구 신길동 123-7,115604154666,서울특별시 영등포구 여의대방로43라길,20,,1156013200101230007019125,,서울특별시 영등포구 여의대방로43라길 20,150839,07358,,1,,126.920273572182,37.5089910463504
MA010120220813498073,지에스25당산금호,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560560,당산2동,1156011400,당산동4가,1156011400100320102,1,대지,32,102,서울특별시 영등포구 당산동4가 32-102,115604154074,서울특별시 영등포구 국회대로37길,15,,1156011400100320102028126,,서울특별시 영등포구 국회대로37길 15,150805,07220,,1,,126.900058848291,37.52834723549
MA0101202406A0356043,지에스25대림으뜸점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300107100000,1,대지,710,,서울특별시 영등포구 대림동 710,115604154251,서울특별시 영등포구 도림로41길,6,,1156013300107100000001670,,서울특별시 영등포구 도림로41길 6,150814,07413,,1,,126.898283378676,37.4944859890173
MA0101202406A0485905,세븐일레븐여의금강점,,G2,소매,G204,종합 소매,G20405,편의점,G46103,섬유; 의복; 신발 및 가죽제품 중개업,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100140035,1,대지,14,35,서울특별시 영등포구 여의도동 14-35,115604154090,서울특별시 영등포구 국회대로70길,22,,1156011000100140035031116,금강빌딩,서울특별시 영등포구 국회대로70길 22,150871,07237,,,,126.920626038273,37.5286061195868
MA0101202406A0525315,세븐일레븐문래윤서점,,G2,소매,G204,종합 소매,G20405,편의점,G46103,섬유; 의복; 신발 및 가죽제품 중개업,11,서울특별시,11560,영등포구,11560605,문래동,1156012100,문래동3가,1156012100100550016,1,대지,55,16,서울특별시 영등포구 문래동3가 55-16,115603118008,서울특별시 영등포구 문래로,164,,1156012100100550016000007,영등포SK리더스뷰,서울특별시 영등포구 문래로 164,150835,07297,,,,126.900072933063,37.517787501143
MA0101202406A0496136,씨유여의도티피,타워점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100270002,1,대지,27,2,서울특별시 영등포구 여의도동 27-2,115602118002,서울특별시 영등포구 의사당대로,96,,1156011000100270002031353,일부,서울특별시 영등포구 의사당대로 96,150742,07321,,2,,126.922873347253,37.5215347422609
MA0101202406A0451488,지에스25S9여의도역점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100030000,1,대지,3,,서울특별시 영등포구 여의도동 3,115603118019,서울특별시 영등포구 여의나루로,40,,1156011000100030000000001,여의도역,서울특별시 영등포구 여의나루로 40,150913,07327,,,,126.924490683367,37.5218421282114
MA0101202406A0390826,지에스25문래현대점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560605,문래동,1156012100,문래동3가,1156012100100830003,1,대지,83,3,서울특별시 영등포구 문래동3가 83-3,115603118008,서울특별시 영등포구 문래로,77,,1156012100100830004024807,문래동대동오피스텔,서울특별시 영등포구 문래로 77,150836,07294,,,,126.8905680617,37.519905443967
